n_pozo	id	profundidad	extraccion_actual	extraccion_max	lat	long	kWh_M
1	Cañitos	300	35	42	20.527831	-100.822081	39416
2	La Bola	300	29	40	20.521853	-100.811822	47372
8	Z. Oro 1	300	28	26	20.526527	-100.832836	25758
9	Z Oro 2	180	16	21	20.530318	-100.83595	25323
11	Latinoamericana	200	11	10	20.54353	-100.834729	16717
12	Jacarandas	189.1	15	13	20.508334	-100.822489	25412
13	Estación	300	22	26	20.5346809	-100.813907	27115
16	Inspección	300	32	35	20.5176	-100.813907	38633
17	Lindavista	215	22	18.5	20.547217	-100.823207	25254
18	Las Flores 2	300	16	17	20.50271899	-100.814919	22712
19	Arboledas 1	225	27	27	20.514453	-100.826225	37044
20	Del Bosque 2	311	22.6	23	20.503394	-100.797707	29632
21	Olimpia	350	22	22	20.51342	-100.793317	27667
26	Alameda	164.7	25	26	20.528034	-100.8104	30772
27	Antonio Plaza	210	15	17	20.516085	-100.807983	23086
30	Jardines	350	32.2	34	20.51178399	-100.795596	47409
33	Valle del Real	336	25	25.9	20.527555	-100.843386	28091
34	Pinos 1	147	20	19.5	20.543728	-100.841342	23830
42	Pinos 2	300	7.4	10	20.541442	-100.8449119	12279
43	Exelaris	250	7.5	9	20.533403	-100.815061	10911
44	Leandro Valle 1	300	35	33	20.529988	-100.82062	50140
46	Laureles 2A	317	20	24	20.53851299	-100.83181	35430
48	Valle Hermoso	285	22	31	20.539231	-100.820736	49515
50	Insurgentes 1	350	21	28	20.520179	-100.799501	36251
51	Lagos	250	20.4	22.6	20.512702	-100.831523	28747
52	Monte Blanco	186.05	21.8	22	20.50517	-100.832546	35625
53	A. V. Bonfil	300	22.2	25	20.5383999	-100.810514	30545
54	Lázaro Cárdenas	284	13.2	14.5	20.556512	-100.826207	21733
55	CD. Industrial 1	300	14	14.7	20.555285	-100.813272	33451
58	Quinta Arboledas	250	13	11	20.511853	-100.823622	408
61	Nuevo Celaya	200	9	8.7	20.534103	-100.83687	16266
63	Nat-tha-hi	300	44	50	20.536292	-100.796715	53030
64	Independencia	361	18.7	24	20.49085699	-100.818099	28899
65	Sn. José de Torres	290	26.2	25	NA	NA	31314
68	El Vergel	146.4	11	12	NA	NA	23093
78	San Francisco	179.95	8.7	9	NA	NA	15959
79	Arboledas del Pedregal	300	14.4	19	NA	NA	22316
82	Los Naranjos	350	18	22.6	NA	NA	28970
83	San Juanico 2	300	26.5	28	NA	NA	38094
85	Residencial Tecnológico	300	18.6	20	NA	NA	32120
86	Girasoles 1A	323	15.6	15	NA	NA	29971
87	Los Veintes 1A	300	21	26	NA	NA	23990
88	CD. Industrial 2A	400	7.5	10	NA	NA	24901
89	Prov. 5ta Bugambilias	300	39	39	NA	NA	41274
91	Bosques Alameda 1A	300	26.6	42	NA	NA	44182
92	10 de Abril	310	18.9	19	NA	NA	29226
93	Emeteria Valencia 1A	300	15	16	NA	NA	19291
94	Tresguerras 1A	300	30.2	32	NA	NA	52773
95	Xochipilli 1A	300	10.6	12	NA	NA	20005
96	La Herradura	132	18	18	NA	NA	3083
97	Laureles 1A	300	14	15	NA	NA	15882
98	Insurgentes 3	350	34	35	NA	NA	37860
99	Ejidal 1A	149.45	18	14	NA	NA	20693
101	La Gavia 4	200	18.8	18	NA	NA	28676
103	La Gavia 7	325	25	40	NA	NA	55247
106	El Campanario	300	20	22	NA	NA	27933
107	Prol. Emiliano Zapata	311	19.8	15	NA	NA	13886
108	San Agustín 1A	300	30	38	NA	NA	36968
109	Álamos 1	300	26	27	NA	NA	16254
110	Resurrección	300	13	13	NA	NA	30107
113	Álamos 2	300	23	26	NA	NA	28944
114	Z. Oro del Bajío 2	350	13	14	NA	NA	27269
115	Col. México	300	15	15	NA	NA	24497
116	El Cantar	300	22	23	NA	NA	31272
117	Villas del Romeral	300	21.8	31	NA	NA	36193
118	CD. Industrial 4	350	10.7	12	NA	NA	22784
119	Valle de los Naranjos 2	350	11.9	13	NA	NA	23959
120	La Misión	300	24	23	NA	NA	39809
121	Sn. Gabriel Don Gú	300	6.5	12	NA	NA	16387
124	Brisas del Carmen	160	21	21	NA	NA	27282
127	Los Mezquites	152.5	12	12	NA	NA	23093
128	Santa Cecilia 2	220	29.8	32	20.495763	-100.814913	35251
129	Los Olivos	170.8	32	31	20.533999	-100.787772	43354
130	Compuertas del Campestre	300	31	34	20.53303899	-100.782161	14280
131	Villas del Bajío	149.5	14.5	18	20.560719	-100.866378	23614
132	Camino Real	158.8	19.6	21	20.54248	-100.882888	17300
133	Galaxias del Parque	170.8	15	16	20.55987199	-100.847958	30173
134	Pot. Sta. Rita II	200	19.5	NA	20.550825	-100.790727	NA
135	Villas del Bajío V	149.3	14	16	20.56076025	-100.886448	20206
136	Hacienda Natura	160.48	20.7	28.5	20.553536	-100.861183	47406
137	Gran Hacienda	152.5	14	15	20.554856	-100.867425	20833
138	Pozo Comunidad Roque	600	23.6	26	20.58156999	-100.837448	25412
139	La Cantera	170	31.5	32	20.530453	-100.852636	39567
142	Praderas 3	60	33	31	20.572175	-100.812744	24753
144	Emiiano Zapata	300	22	21	20.543845	-100.799674	25403
145	Villas de Helguera	NA	21.5	24	20.56701668	-100.8782222	5600
147	Olivos 3	240	20.7	23	20.538353	-100.786914	30252
149	Porto Real	400	22.4	25	20.5363676	-100.7773379	32026
148	Trojes	400	18.6	19	20.51069229	-100.7763904	5954
151	Campo Azul	NA	25	28	20.48724844	-100.8341539	31466
153	Pozo Guanajuato	400	22.6	25	20.550548	-100.80964	34954
154	Fovissste	300	18	18	20.54200792	-100.8171877	22666
156	San Rafael	400	37.5	41	20.499514	-100.83886	47561
155	Privanza	600	25	25	20.546473	-100.767938	293
157	Fundación	NA	32	NA	NA	NA	NA
158	Mayorazgo	NA	24	NA	NA	NA	NA
159	Senda Real	NA	32	NA	NA	NA	NA
